1992,6,20,2,0,0
,,,4,40,0.8
1992,6,20,5,55,0
,,,6,10,0.6
,,,6,15,1
,,,6,20,1.6
,,,6,26,3.8
,,,8,30,5.4
1992,6,21,6,10,0
,,,7,40,2
1992,6,25,14,10,0
,,,14,18,0.2
,,,14,22,3.2
,,,14,30,3.4
1992,6,25,17,15,0
,,,17,50,0.8
1992,6,25,21,40,0
,,,23,0,1.2
1992,6,28,15,0,0
,,,15,10,0.2
1992,6,30,5,50,0
,,,5,59,1.9
,,,7,10,2.1
1992,6,30,8,20,0
,,,8,50,0.1
1992,6,30,12,55,0
,,,13,0,0.1
1992,7,3,19,40,0
,,,20,0,0.1
1992,7,6,21,40,0
,,,22,10,0.6
1992,7,7,13,25,0
,,,13,28,0.9
,,,13,38,1.1
,,,13,42,1.6
,,,13,43,2
,,,13,50,2.2
1992,7,7,18,20,0
,,,18,30,0.2
1992,7,8,0,20,0
,,,2,10,0.5
1992,7,8,11,25,0
,,,11,40,0.2
1992,7,19,7,0,0
,,,8,19,2.6
,,,8,20,3
,,,8,22,3.2
,,,8,25,4
,,,12,0,8.2
1992,7,20,0,10,0
,,,0,30,0.1
1992,7,28,22,52,0
,,,23,2,5.2
,,,23,5,5.4
1992,8,3,17,0,0
,,,17,9,0.4
,,,17,10,0.8
,,,17,12,1
,,,17,19,1.2
,,,17,23,1.8
,,,17,28,2
,,,17,31,2.4
,,,17,36,4
,,,17,41,4.6
,,,17,55,5.3
1992,8,16,16,40,0
,,,16,46,0.6
,,,16,59,0.8
,,,17,2,1.4
,,,17,15,10
,,,17,20,14.8
,,,17,28,15.2
,,,17,40,15.3
,,,17,45,17
,,,17,58,17.3
,,,18,0,19
,,,18,3,19.6
,,,18,13,20
,,,18,20,20.8
1992,8,16,19,30,0
,,,19,31,1
,,,19,33,1.4
,,,19,43,1.7
,,,19,52,2.3
,,,20,0,2.4
1992,8,22,18,0,0
,,,18,9,0.6
,,,18,10,1.2
,,,18,15,1.4
1992,8,23,0,8,0
,,,0,19,4.4
,,,0,23,4.6
,,,0,26,5.4
,,,0,30,5.8
,,,1,6,6.2
,,,1,18,8
,,,1,22,8.1
,,,1,30,8.6
,,,1,50,8.8
1992,8,23,13,50,0
,,,14,20,0.6
1992,8,23,16,30,0
,,,16,55,0.5
1992,8,24,20,10,0
,,,20,20,0.1
1992,9,2,3,40,0
,,,3,46,0.4
,,,3,50,0.6
,,,3,52,1.4
,,,3,58,2
,,,4,33,2.8
,,,4,39,3.4
,,,4,50,3.5
1992,9,5,14,35,0
,,,14,37,0.6
,,,14,50,1.4
,,,14,59,1.8
,,,15,9,2.8
,,,15,18,3.4
,,,15,22,4
,,,15,30,4.5
,,,15,40,6
,,,15,50,6.8
,,,15,53,7
,,,16,3,7.2
,,,16,13,8.1
,,,16,18,8.3
,,,16,20,9
,,,16,30,10
,,,16,39,11
,,,17,0,12.4
,,,17,30,12.7
,,,18,0,12.7
,,,20,30,14.6
,,,21,28,14.6
,,,22,40,15.2
1992,9,6,3,35,0
,,,5,5,2.2
,,,5,14,2.8
,,,6,50,4.4
1992,9,9,17,50,0
,,,20,0,2
,,,20,5,2.6
,,,20,20,2.8
1992,9,22,8,15,0
,,,14,0,1.9
1992,9,22,17,30,0
,,,18,0,0.2
1992,9,30,10,20,0
,,,10,40,0.2
1992,9,30,13,25,0
,,,13,32,0.2
,,,13,48,1
,,,14,2,1.6
,,,14,7,2
,,,14,40,3.8
,,,15,0,4.4
,,,15,30,4.4
,,,15,40,4.6
1992,9,30,17,50,0
,,,18,30,0.4
1992,9,30,20,30,0
,,,22,20,1.2
1992,10,4,20,15,0
,,,21,40,0.6
1992,10,4,23,5,0
1992,10,5,1,19,2.2
,,,1,26,2.8
,,,1,30,3.4
,,,1,40,4
,,,2,28,5
,,,2,38,5.6
,,,3,25,7.4
,,,3,50,9.4
,,,4,10,10.4
,,,4,20,11.4
,,,4,42,12.7
,,,4,50,13
,,,5,10,14
,,,5,20,14.2
,,,5,30,15
,,,5,50,16
,,,8,37,19.4
1992,10,6,0,30,26.6
1992,10,6,7,30,0
,,,8,20,0.2
1992,10,8,3,30,0
,,,3,40,0.2
,,,4,10,0.2
,,,4,30,1.8
,,,6,38,4
,,,7,0,5
,,,8,0,5.3
1992,10,10,18,50,0
,,,21,0,2.2
1992,10,10,23,20,0
1992,10,11,0,30,0.2
1992,10,11,5,0,0
,,,10,40,1.5
1992,10,11,12,20,0
,,,12,50,0.3
1992,10,11,23,30,0
1992,10,12,10,50,6.5
1992,10,12,14,40,0
,,,15,50,0.6
1992,10,12,18,0,0
,,,18,30,0.1
1992,10,14,9,50,0
,,,10,0,0.2
1992,10,15,18,10,0
,,,20,30,1.2
1992,10,15,22,10,0
1992,10,16,0,0,0.4
1992,10,17,3,40,0
,,,6,0,0.6
1992,10,20,19,30,0
,,,20,30,0.4
1992,10,21,3,30,0
,,,4,0,0.2
1992,10,26,19,50,0
,,,20,50,1.4
