"time","cant"
1978-07-19 22:40:00,2
1978-07-19 22:40:00,NA
1980-04-05 19:00:00,69
1980-04-05 19:00:00,NA
1980-04-19 19:00:00,13
1980-04-19 19:00:00,NA
1981-09-02 01:04:00,5
1981-09-02 01:04:00,0
1981-09-02 12:00:00,20
1981-09-02 12:00:00,0
