"CODGE","NUME","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
413838,"CONSTANTA",4.1,5.4,8.9,14.1,19.8,24.5,26.8,26.7,22.6,17.2,11.7,6.3
710736,"IASI",0.5,2.7,8.8,16.8,22.8,26,27.8,27.5,22.6,16.1,8.6,2.6
527527,"VF. OMU",-7.1,-7.3,-4.5,-0.6,3.9,6.9,9,9.4,6.1,2.8,-1.7,-5.6
