"CODGE","NUME","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
413838,"CONSTANTA",32.5,27.7,31.8,31.7,41.3,40.4,33.9,36.7,36.8,37.3,42.7,40.3
710736,"IASI",30.5,28.3,31.9,49.3,60.3,88,79.4,54.8,50.8,33.3,34.7,31.5
527527,"VF. OMU",61,58.1,65.7,77,104.6,131.2,137.5,109.3,66.7,52.8,53.4,64.4
