"CODGE","NUME","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
413838,"CONSTANTA",0.9,1.9,5.2,10.3,16,20.6,22.8,22.6,18.6,13.3,8.1,3.1
710736,"IASI",-3,-1.3,3.5,10.5,16.4,19.8,21.4,20.6,15.9,10.1,4.5,-0.7
527527,"VF. OMU",-10.2,-10.5,-8.2,-4.1,0.7,3.9,5.9,6.1,2.8,-0.5,-4.7,-8.5
