"CODGE","NUME","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
413838,"CONSTANTA",-1.8,-0.7,2.4,7.2,12.6,16.7,18.8,18.7,15,10.1,5.2,0.4
710736,"IASI",-6,-4.4,-0.4,5.4,10.6,14,15.6,14.9,10.8,5.7,1.3,-3.6
527527,"VF. OMU",-13,-13.2,-11,-6.6,-1.6,1.5,3.3,3.6,0.4,-3.1,-7.4,-11.2
