"CODGE","NUME","Lon","Lat","time","day_length"
747356,"Ocna Sugatag",23.9405,47.777,2021-01-01 00:00:00,8.4932190419568
747356,"Ocna Sugatag",23.9405,47.777,2021-01-02 00:00:00,8.51035223212507
747356,"Ocna Sugatag",23.9405,47.777,2021-01-03 00:00:00,8.52889105783568
747356,"Ocna Sugatag",23.9405,47.777,2021-01-04 00:00:00,8.54881564239661
747356,"Ocna Sugatag",23.9405,47.777,2021-01-05 00:00:00,8.57010485794809
747356,"Ocna Sugatag",23.9405,47.777,2021-01-06 00:00:00,8.59273640480306
747356,"Ocna Sugatag",23.9405,47.777,2021-01-07 00:00:00,8.61668689476119
747356,"Ocna Sugatag",23.9405,47.777,2021-01-08 00:00:00,8.64193193581369
747356,"Ocna Sugatag",23.9405,47.777,2021-01-09 00:00:00,8.66844621837139
747356,"Ocna Sugatag",23.9405,47.777,2021-01-10 00:00:00,8.69620360235373
747356,"Ocna Sugatag",23.9405,47.777,2021-01-11 00:00:00,8.72517720507251
747356,"Ocna Sugatag",23.9405,47.777,2021-01-12 00:00:00,8.75533948798974
747356,"Ocna Sugatag",23.9405,47.777,2021-01-13 00:00:00,8.78666234360801
747356,"Ocna Sugatag",23.9405,47.777,2021-01-14 00:00:00,8.81911718063884
747356,"Ocna Sugatag",23.9405,47.777,2021-01-15 00:00:00,8.85267500778039
747356,"Ocna Sugatag",23.9405,47.777,2021-01-16 00:00:00,8.887306515442
747356,"Ocna Sugatag",23.9405,47.777,2021-01-17 00:00:00,8.92298215521707
747356,"Ocna Sugatag",23.9405,47.777,2021-01-18 00:00:00,8.95967221611076
747356,"Ocna Sugatag",23.9405,47.777,2021-01-19 00:00:00,8.99734689878093
747356,"Ocna Sugatag",23.9405,47.777,2021-01-20 00:00:00,9.03597638554043
747356,"Ocna Sugatag",23.9405,47.777,2021-01-21 00:00:00,9.07553090737926
747356,"Ocna Sugatag",23.9405,47.777,2021-01-22 00:00:00,9.11598080767526
747356,"Ocna Sugatag",23.9405,47.777,2021-01-23 00:00:00,9.15729660206371
747356,"Ocna Sugatag",23.9405,47.777,2021-01-24 00:00:00,9.19944903386964
747356,"Ocna Sugatag",23.9405,47.777,2021-01-25 00:00:00,9.24240912669235
747356,"Ocna Sugatag",23.9405,47.777,2021-01-26 00:00:00,9.28614823255274
747356,"Ocna Sugatag",23.9405,47.777,2021-01-27 00:00:00,9.33063807639811
747356,"Ocna Sugatag",23.9405,47.777,2021-01-28 00:00:00,9.37585079650084
747356,"Ocna Sugatag",23.9405,47.777,2021-01-29 00:00:00,9.42175898134708
747356,"Ocna Sugatag",23.9405,47.777,2021-01-30 00:00:00,9.46833570268419
747356,"Ocna Sugatag",23.9405,47.777,2021-01-31 00:00:00,9.51555454485946
747356,"Ocna Sugatag",23.9405,47.777,2021-02-01 00:00:00,9.56338963117864
747356,"Ocna Sugatag",23.9405,47.777,2021-02-02 00:00:00,9.61181564582719
747356,"Ocna Sugatag",23.9405,47.777,2021-02-03 00:00:00,9.66080785373847
747356,"Ocna Sugatag",23.9405,47.777,2021-02-04 00:00:00,9.7103421163559
747356,"Ocna Sugatag",23.9405,47.777,2021-02-05 00:00:00,9.76039490494463
747356,"Ocna Sugatag",23.9405,47.777,2021-02-06 00:00:00,9.81094331112173
747356,"Ocna Sugatag",23.9405,47.777,2021-02-07 00:00:00,9.86196505407492
747356,"Ocna Sugatag",23.9405,47.777,2021-02-08 00:00:00,9.91343848619196
747356,"Ocna Sugatag",23.9405,47.777,2021-02-09 00:00:00,9.96534259557724
747356,"Ocna Sugatag",23.9405,47.777,2021-02-10 00:00:00,10.0176570065154
747356,"Ocna Sugatag",23.9405,47.777,2021-02-11 00:00:00,10.0703619784779
747356,"Ocna Sugatag",23.9405,47.777,2021-02-12 00:00:00,10.1234384021494
747356,"Ocna Sugatag",23.9405,47.777,2021-02-13 00:00:00,10.1768677947256
747356,"Ocna Sugatag",23.9405,47.777,2021-02-14 00:00:00,10.2306322927607
747356,"Ocna Sugatag",23.9405,47.777,2021-02-15 00:00:00,10.2847146442201
747356,"Ocna Sugatag",23.9405,47.777,2021-02-16 00:00:00,10.3390981988774
747356,"Ocna Sugatag",23.9405,47.777,2021-02-17 00:00:00,10.3937668971883
747356,"Ocna Sugatag",23.9405,47.777,2021-02-18 00:00:00,10.4487052587006
747356,"Ocna Sugatag",23.9405,47.777,2021-02-19 00:00:00,10.503898368809
747356,"Ocna Sugatag",23.9405,47.777,2021-02-20 00:00:00,10.5593318653769
747356,"Ocna Sugatag",23.9405,47.777,2021-02-21 00:00:00,10.6149919235044
747356,"Ocna Sugatag",23.9405,47.777,2021-02-22 00:00:00,10.6708652406931
747356,"Ocna Sugatag",23.9405,47.777,2021-02-23 00:00:00,10.7269390210178
747356,"Ocna Sugatag",23.9405,47.777,2021-02-24 00:00:00,10.7832009581725
747356,"Ocna Sugatag",23.9405,47.777,2021-02-25 00:00:00,10.8396392189794
747356,"Ocna Sugatag",23.9405,47.777,2021-02-26 00:00:00,10.8962424262365
747356,"Ocna Sugatag",23.9405,47.777,2021-02-27 00:00:00,10.952999640637
747356,"Ocna Sugatag",23.9405,47.777,2021-02-28 00:00:00,11.0099003432194
